Application,Start Time,End Time,Duration (seconds),App Type
Edge: Smash Burger Challenge in NYC | Foodie Delight | TikTok,2025-01-31 16:27:10,2025-01-31 16:29:37,9.0,social media
Edge: tiktok downloader,2025-01-31 16:27:16,2025-01-31 16:28:08,5.0,browser
Edge: TikTok Downloader,2025-01-31 16:27:18,2025-01-31 16:29:42,39.04,social media
Edge: How to Make a Delicious Burger at Home – Easy Recipe,2025-01-31 16:27:32,2025-01-31 16:27:36,4.0,browser
Edge: One of our latest Reels campaign for our client @hungerstationbfc ❤️🔥... | marketing | TikTok,2025-01-31 16:28:19,2025-01-31 16:28:22,3.0,social media
Edge: اكتشفوا طعم الطعام في الإسكندرية مع منيو Smash it Burger الجديد | TikTok,2025-01-31 16:28:42,2025-01-31 16:28:53,5.0,social media
Edge: How to save TikTok videos without Watermark online?,2025-01-31 16:28:48,2025-01-31 16:29:23,27.020000000000003,social media
vlc,2025-01-31 16:29:23,2025-01-31 16:29:25,2.0,other
Edge: جوستاف,2025-01-31 17:04:11,2025-01-31 17:10:56,317.4,browser
Edge: شخصيات الفار الطباخ,2025-01-31 17:04:20,2025-01-31 17:05:47,86.1,browser
